"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Boyle, Brendan F. [D-PA-2]","115",16.7069,25.9241,28.337,0.178946741890552,0.235414553037989,0.365292808026152,0.399292638935858,"prof","Democratic","house of representatives","Committee on the Budget","Male",47,2,0.345742520682813,"13","PA","B001296"
"Rep. Boyle, Brendan F. [D-PA-2]","116",11.0174,23.5935,25.2789,0.115571776220165,0.183961823087815,0.393949867756672,0.422091648633485,"prof","Democratic","house of representatives","Committee on the Budget","Male",47,4,0.302368085228266,"2","PA","B001296"
"Rep. Boyle, Brendan F. [D-PA-2]","117",10.8314,27.7997,26.4493,0.118902922240574,0.166430037737705,0.427156703666827,0.406407112389522,"dom","Democratic","house of representatives","Committee on the Budget","Male",47,6,0.185056411167435,"2","PA","B001296"
"Rep. Boyle, Brendan F. [D-PA-2]","118",12.872,27.8493,28.4056,0.146305968361519,0.186208532725368,0.40287269192267,0.410920221968904,"prof","Democratic","house of representatives","Committee on the Budget","Male",47,8,0.306861056829147,"2","PA","B001296"
"Rep. Brady, Kevin [R-TX-8]","116",13.5901,28.6252,31.1964,0.126043349405033,0.185122474166138,0.389928539709091,0.424953072683534,"prof","Republican","house of representatives","Committee on Ways and Means","Female",69,22,0.594438113827428,"8","TX","B000755"
"Rep. Brady, Kevin [R-TX-8]","117",14.3962,24.0458,28.7906,0.10434438108714,0.214125608894508,0.357651433458521,0.428224445022868,"prof","Republican","house of representatives","Committee on Ways and Means","Female",69,24,0.47309810778669,"8","TX","B000755"
"Rep. Brecheen, Josh [R-OK-2]","118",18.1892,24.5708,32.5888,0.136483186220146,0.241400956886999,0.326095409994891,0.432507614617411,"prof","Republican","house of representatives","Committee on the Budget","Male",45,0,0.722240038746652,"2","OK","B001317"
"Rep. Bridenstine, Jim [R-OK-1]","115",14.564,24.7634,27.8452,0.156180220201369,0.216813302963989,0.368651094933976,0.41452964732854,"prof","Republican","house of representatives",NA,"Male",49,4,NA,"1","OK","B001283"
"Rep. Brindisi, Anthony [D-NY-22]","116",10.6665,32.8198,26.1926,0.181585626062906,0.153081653594724,0.471017602273298,0.375906484783685,"dom","Democratic","house of representatives","Committee on Agriculture","Male",46,0,0.574735264993051,"22","NY","B001308"
"Rep. Brooks, Mo [R-AL-5]","115",20.711,26.0605,34.3105,0.110033055934674,0.255434976992229,0.321411965521026,0.423161690796768,"prof","Republican","house of representatives","Committee on Armed Services","Male",70,6,0.815761479297175,"5","AL","B001274"
"Rep. Brooks, Mo [R-AL-5]","116",19.0026,29.2934,33.5562,0.110635678825962,0.232159743144283,0.357885143076355,0.409964887588972,"prof","Republican","house of representatives","Committee on Armed Services","Male",70,8,0.734323010848295,"5","AL","B001274"
"Rep. Brooks, Mo [R-AL-5]","117",12.2956,25.2014,26.988,0.122506863834428,0.190673800108552,0.390810265953323,0.418515933938125,"prof","Republican","house of representatives","Committee on Armed Services","Male",70,10,0.696010581606371,"5","AL","B001274"
"Rep. Brooks, Susan W. [R-IN-5]","115",10.8078,32.7704,23.9229,0.176312948731871,0.160113895115162,0.485482372775393,0.354409657973917,"dom","Republican","house of representatives","Committee on Ethics","Female",64,4,0.773364116261565,"5","IN","B001284"
"Rep. Brooks, Susan W. [R-IN-5]","116",10.4988,36.6697,28.8612,0.185147659848114,0.13808832349506,0.482308206277555,0.379604785504593,"dom","Republican","house of representatives","Committee on Energy and Commerce","Female",64,6,0.634207987886821,"5","IN","B001284"
"Rep. Brown, Anthony G. [D-MD-4]","115",14.5019,24.5014,29.6417,0.139349299951474,0.21125999347365,0.356930168053516,0.431812752022003,"prof","Democratic","house of representatives","Committee on Armed Services","Male",63,0,0.273376071130241,"4","MD","B001304"
